Jaunpur13000872,Uttar pradesh13000872,Varanasi_Cluster,Varanasi_Cluster13000872,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13000872,Ferterra 4 Kg,CROP PROTECTION,,,BRANDED,FERTERRA,4,D,2.4%,2.4%,520,437,368,109,92,0,0,0,0,,,,0,0,0,0,,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Jaunpur
Jaunpur13000971,Uttar pradesh13000971,Varanasi_Cluster,Varanasi_Cluster13000971,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13000971,Glycel 1 L,CROP PROTECTION,,,BRANDED,GLYCEL,1,D,2.4%,2.4%,402,340,41,340,41,,11,3,11,,,,0,0,0,0,,,,,,0,209,209,,,0,20,20,,,0,229,229,0,0,0,0,209,20,229,0,0,0,0,0,0,0,"88,305","8,483","96,788",0,0,0,0,0,"71,099","6,813","77,912",0,0,0,0,0,"1,706",164,"1,870",0,0,0,0,,,No AOP | Plan = Inventory (At Par),,"84,100","8,079","92,179",,"67,713","6,488","74,201",,"2,793",276,"3,069",Jaunpur
Jaunpur13001641,Uttar pradesh13001641,Varanasi_Cluster,Varanasi_Cluster13001641,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13001641,Nominee Gold 10 ml,CROP PROTECTION,,,BRANDED,NOMINEE GOLD,0.01,D,2.4%,2.2%,50,44,9,"4,449",949,0,0,0,0,,,,0,0,0,0,,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Jaunpur
Jaunpur13001652,Uttar pradesh13001652,Varanasi_Cluster,Varanasi_Cluster13001652,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13001652,Oberon 100 ml,CROP PROTECTION,,,BRANDED,OBERON,0.1,D,0.1%,2.2%,570,472,"1,567","4,715","15,670",0,0,0,0,,,,0,0,0,0,,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Jaunpur
Jaunpur13001777,Uttar pradesh13001777,Varanasi_Cluster,Varanasi_Cluster13001777,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13001777,Pimix 8 gm,CROP PROTECTION,,,BRANDED,PIMIX,0.008,D,2.4%,1.9%,80,72,119,"9,040","14,825",0,0,0,0,,,,0,0,0,0,,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Jaunpur
Jaunpur13002021,Uttar pradesh13002021,Varanasi_Cluster,Varanasi_Cluster13002021,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13002021,Saaf 250 gm,CROP PROTECTION,,,BRANDED,SAAF,0.25,D,2.4%,2.3%,150,123,39,492,157,1,3,4,6,,,,0,0,0,0,,30,30,,,0,96,96,,,0,74,74,,,0,200,200,0,0,0,8,24,19,50,0,0,0,0,0,0,"5,261","15,120","11,781","32,162",0,0,0,0,"3,713","11,816","9,113","24,642",0,0,0,0,89,284,219,591,0,0,0,0,,,In AOP but Plan is ZERO,"5,010","14,400","11,220","30,630","3,536","11,253","8,679","23,468",173,493,384,"1,050",Jaunpur
Jaunpur13002040,Uttar pradesh13002040,Varanasi_Cluster,Varanasi_Cluster13002040,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13002040,SALIX 500 gm,CROP PROTECTION,,,BRANDED,SALIX,0.5,D,2.4%,0.8%,143,126,152,252,303,2,2,,4,,,,0,0,0,0,,74,74,,,0,24,24,,,0,,,,,0,98,98,0,0,0,37,12,0,49,0,0,0,0,0,0,"11,166","3,614",0,"14,780",0,0,0,0,"9,323","3,023",0,"12,346",0,0,0,0,224,73,0,296,0,0,0,0,,,In AOP but Plan is ZERO,"10,634","3,441",,"14,075","8,879","2,879",,"11,758",361,117,,478,Jaunpur
Jaunpur13002631,Uttar pradesh13002631,Varanasi_Cluster,Varanasi_Cluster13002631,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13002631,Virtako 5 Kg,CROP PROTECTION,,,BRANDED,VIRTAKO,5,D,2.4%,2.4%,"1,280","1,088",295,218,59,0,0,0,0,,,,0,0,0,0,,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Jaunpur
Jaunpur13002742,Uttar pradesh13002742,Varanasi_Cluster,Varanasi_Cluster13002742,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13002742,ZURA (ATUL) 1 L,CROP PROTECTION,,,BRANDED,ZURA (ATUL),1,D,2.4%,2.3%,280,234,287,234,287,,2,,2,,,,0,0,0,0,,,,,,0,16,16,,,0,,,,,0,16,16,0,0,0,0,16,0,16,0,0,0,0,0,0,0,"4,652",0,"4,652",0,0,0,0,0,"3,738",0,"3,738",0,0,0,0,0,90,0,90,0,0,0,0,,,No AOP | Plan = Inventory (At Par),,"4,430",,"4,430",,"3,560",,"3,560",,150,,150,Jaunpur
Jaunpur13003783,Uttar pradesh13003783,Varanasi_Cluster,Varanasi_Cluster13003783,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13003783,FOSMITE 100 ML,CROP PROTECTION,,,BRANDED,FOSMITE,0.1,D,2.4%,2.4%,89,73,62,730,615,0,0,0,0,,,,0,0,0,0,,0,,,,0,0,,,,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),0,0,0,0,0,0,0,0,0,0,0,0,Jaunpur
Jaunpur13003719,Uttar pradesh13003719,Varanasi_Cluster,Varanasi_Cluster13003719,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13003719,ASEAR 500 GM,CROP PROTECTION,,,PRIVATE LABEL,ASEAR,0.5,C,16.8%,16.8%,332,186,270,372,540,0,0,0,0,,,,0,6,0,"1,907",,0,0,,,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan < Inventory (Excess),0,0,0,0,,30,,30,,30,,30,Jaunpur
Jaunpur13003935,Uttar pradesh13003935,Varanasi_Cluster,Varanasi_Cluster13003935,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13003935,ASEAR 1 KG,CROP PROTECTION,,,PRIVATE LABEL,ASEAR,1,C,16.5%,16.5%,650,353,490,353,490,3,,,3,,,,0,1,0,625,,18,24,25,,25,,0,50,,50,,0,,,0,18,24,75,0,75,24,0,0,24,25,50,0,75,0,0,"12,062",0,0,"12,062","16,250","32,500",0,"48,750","8,586",0,0,"8,586","12,250","24,500",0,"36,750","1,420",0,0,"1,420","2,026","4,052",0,"6,078",,,Plan > AOP | Plan > Inventory (Shortage),"9,978",,,"9,978","8,307",32,,"8,339",392,32,,424,Jaunpur
Jaunpur13005086,Uttar pradesh13005086,Varanasi_Cluster,Varanasi_Cluster13005086,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13005086,Ataque GR 4 KG,CROP PROTECTION,,,PRIVATE LABEL,ATAQUE GR,4,A,42.3%,40.0%,400,244,280,61,70,1,3,1,5,,,,0,515,0,"200,763",,10,0,50,,50,10,0,,,0,78,149.0755008,200,,200,98,149,250,0,250,0,0,596,596,200,0,800,"1,000",0,0,0,0,"48,775","48,775","20,000",0,"80,000","100,000",0,0,"36,374","36,374","14,000",0,"56,000","70,000",0,0,"15,386","15,386","5,600",0,"22,400","28,000",,,No AOP | Plan < Inventory (Excess),"4,400","4,444","34,452","43,296","2,900","4,141","22,482","29,523",997,"2,238","7,634","10,869",Jaunpur
Jaunpur13003697,Uttar pradesh13003697,Varanasi_Cluster,Varanasi_Cluster13003697,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13003697,Azytop 250 ml,CROP PROTECTION,,,PRIVATE LABEL,AZYTOP,0.25,A,44.7%,35.0%,345,240,240,960,960,0,0,0,0,,,,0,61,0,"20,678",,0,0,,,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan < Inventory (Excess),0,0,0,0,,22,,22,,22,,22,Jaunpur
Jaunpur13004195,Uttar pradesh13004195,Varanasi_Cluster,Varanasi_Cluster13004195,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004195,Azytop 100 ml,CROP PROTECTION,,,PRIVATE LABEL,AZYTOP,0.1,A,32.0%,35.0%,141,98,98,984,984,,1,,1,,,,0,1252,0,"185,678",,,0,,,0,20,58.82352941,50,,50,,0,,,0,20,59,50,0,50,0,6,0,6,0,5,0,5,0,0,0,"8,538",0,"8,538",0,"7,050",0,"7,050",0,"5,788",0,"5,788",0,"4,920",0,"4,920",0,"1,852",0,"1,852",0,"1,722",0,"1,722",,,No AOP | Plan < Inventory (Excess),,49,,49,,49,,49,,8,,8,Jaunpur
Jaunpur13004223,Uttar pradesh13004223,Varanasi_Cluster,Varanasi_Cluster13004223,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004223,Beeso 100 ml,CROP PROTECTION,,,PRIVATE LABEL,BEESO,0.1,A,31.1%,22.0%,136,105,108,"1,046","1,080",13,1,,13,,,,0,0,0,0,,748,"1,150",800,,800,29,0,50,,50,,0,,,0,777,"1,150",850,0,850,115,0,0,115,80,5,0,85,0,0,"163,178",0,0,"163,178","108,800","6,800",0,"115,600","120,309",0,0,"120,309","86,400","5,400",0,"91,800","37,416",0,0,"37,416","19,008","1,188",0,"20,196",,,Plan < AOP | Plan > Inventory (Shortage),"121,074","4,686",,"125,760","90,188","3,946",,"94,134","21,000","1,263",,"22,263",Jaunpur
Jaunpur13004241,Uttar pradesh13004241,Varanasi_Cluster,Varanasi_Cluster13004241,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004241,Beeso 500 ml,CROP PROTECTION,,,PRIVATE LABEL,BEESO,0.5,A,33.1%,22.0%,658,505,525,"1,009","1,050",13,,1,13,,,,0,1216,0,"829,559",,245,332,300,,300,,0,,,0,-28,0,,,0,217,332,300,0,300,166,0,0,166,150,0,0,150,0,0,"227,472",0,0,"227,472","197,400",0,0,"197,400","167,712",0,0,"167,712","157,500",0,0,"157,500","55,580",0,0,"55,580","34,650",0,0,"34,650",,,Plan < AOP | Plan < Inventory (Excess),"174,071",,"-14,910","159,161","130,098",420,"-12,130","118,388","26,908",420,-351,"26,977",Jaunpur
Jaunpur13004242,Uttar pradesh13004242,Varanasi_Cluster,Varanasi_Cluster13004242,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004242,Beeso 1 L,CROP PROTECTION,,,PRIVATE LABEL,BEESO,1,C,18.0%,22.0%,"1,300",997,997,997,997,6,,2,8,,,,0,-29,0,"-36,865",,30,47,50,,50,,0,,,0,-76,0,,,0,-46,47,50,0,50,47,0,0,47,50,0,0,50,0,0,"63,719",0,0,"63,719","65,000",0,0,"65,000","46,979",0,0,"46,979","49,850",0,0,"49,850","8,442",0,0,"8,442","10,967",0,0,"10,967",,,Plan > AOP | Plan > Inventory (Shortage),"41,788",,"-93,217","-51,429","31,556",963,"-75,837","-43,318","6,864",963,"-13,304","-5,477",Jaunpur
Jaunpur13005127,Uttar pradesh13005127,Varanasi_Cluster,Varanasi_Cluster13005127,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13005127,Beeso 50 ml,CROP PROTECTION,,,PRIVATE LABEL,BEESO,0.05,C,18.6%,22.0%,69,46,55,911,"1,100",0,0,0,0,,,,0,2988,0,"265,882",,0,666,,,0,0,0,,,0,0,0,,,0,0,666,0,0,0,33,0,0,33,0,0,0,0,0,0,"41,125",0,0,"41,125",0,0,0,0,"30,321",0,0,"30,321",0,0,0,0,"5,643",0,0,"5,643",0,0,0,0,,,In AOP but Plan is ZERO,0,0,0,0,0,0,0,0,0,0,0,0,Jaunpur
Jaunpur13004213,Uttar pradesh13004213,Varanasi_Cluster,Varanasi_Cluster13004213,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004213,C Square 100 ml,CROP PROTECTION,,,PRIVATE LABEL,C SQUARE,0.1,D,8.0%,5.0%,79,57,65,569,650,9,2,3,11,,,,0,0,0,0,,355,353,400,,400,100,99.50248756,200,,200,150,149.2537313,300,,300,605,602,900,0,900,35,10,15,60,40,20,30,90,0,0,"26,352","7,423","11,135","44,910","31,600","15,800","23,700","71,100","20,099","5,662","8,493","34,253","26,000","13,000","19,500","58,500","1,608",453,679,"2,740","1,300",650,975,"2,925",,,Plan > AOP | Plan > Inventory (Shortage),"26,455","7,489","11,175","45,119","21,590","6,183","9,131","36,904","1,685",576,721,"2,982",Jaunpur
Jaunpur13004214,Uttar pradesh13004214,Varanasi_Cluster,Varanasi_Cluster13004214,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004214,C Square 250 ml,CROP PROTECTION,,,PRIVATE LABEL,C SQUARE,0.25,D,8.0%,5.0%,185,134,145,536,580,9,6,1,10,,,,0,819,0,"118,686",,224,361,300,,300,125,214.1115059,200,,200,20,31.31991051,100,,100,369,606,600,0,600,90,54,8,152,75,50,25,150,0,0,"63,355","37,617","5,503","106,475","55,500","37,000","18,500","111,000","48,322","28,691","4,197","81,209","43,500","29,000","14,500","87,000","3,866","2,295",336,"6,497","2,175","1,450",725,"4,350",,,Plan < AOP | Plan < Inventory (Excess),"36,640","20,526","3,266","60,432","29,773","16,887","2,663","49,323","3,645","2,306",330,"6,281",Jaunpur
Jaunpur13004215,Uttar pradesh13004215,Varanasi_Cluster,Varanasi_Cluster13004215,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004215,C Square 500 ml,CROP PROTECTION,,,PRIVATE LABEL,C SQUARE,0.5,D,8.0%,5.0%,360,260,270,519,540,5,,,5,,,,0,88,0,"24,014",,66,165,100,,100,,0,100,,100,,0,,,0,66,165,200,0,200,83,0,0,83,50,50,0,100,0,0,"56,139",0,0,"56,139","36,000","36,000",0,"72,000","42,818",0,0,"42,818","27,000","27,000",0,"54,000","3,425",0,0,"3,425","1,350","1,350",0,"2,700",,,Plan < AOP | Plan > Inventory (Shortage),"20,409",,,"20,409","16,621",117,,"16,738","2,142",117,,"2,259",Jaunpur
Jaunpur13005078,Uttar pradesh13005078,Varanasi_Cluster,Varanasi_Cluster13005078,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13005078,C Square 50 ml,CROP PROTECTION,,,PRIVATE LABEL,C SQUARE,0.05,D,8.0%,5.0%,43,31,37,617,740,4,1,1,6,,,,0,0,0,0,,190,388,300,,300,20,0,100,,100,10,0,100,,100,220,388,500,0,500,19,0,0,19,15,5,5,25,0,0,"15,684",0,0,"15,684","12,900","4,300","4,300","21,500","11,962",0,0,"11,962","11,100","3,700","3,700","18,500",957,0,0,957,555,185,185,925,,,Plan < AOP | Plan > Inventory (Shortage),"8,512",896,448,"9,856","6,975",783,367,"8,125","1,754",234,92,"2,080",Jaunpur
Jaunpur13004199,Uttar pradesh13004199,Varanasi_Cluster,Varanasi_Cluster13004199,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004199,Caterkill 100 ml,CROP PROTECTION,,,PRIVATE LABEL,CATERKILL,0.1,C,11.4%,15.0%,72,54,51,537,510,3,3,4,9,,,,0,0,0,0,,190,241,200,,200,105,131.7991632,200,,200,180,228.2949791,200,,200,475,601,600,0,600,24,13,23,60,20,20,20,60,0,0,"16,966","9,280","16,073","42,319","14,400","14,400","14,400","43,200","12,941","7,078","12,259","32,278","10,200","10,200","10,200","30,600","1,469",803,"1,391","3,664","1,530","1,530","1,530","4,590",,,Plan < AOP | Plan > Inventory (Shortage),"13,718","7,585","12,996","34,299","10,806","6,212","10,498","27,516","1,841","1,256","2,003","5,100",Jaunpur
Jaunpur13003712,Uttar pradesh13003712,Varanasi_Cluster,Varanasi_Cluster13003712,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13003712,Chopoff 500 ml,CROP PROTECTION,,,PRIVATE LABEL,CHOPOFF,0.5,D,6.8%,5.0%,180,115,155,229,310,1,1,2,4,,,,0,0,0,0,,8,0,,,0,22,0,,,0,3,0,,,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan = Inventory (At Par),"1,132","3,145",426,"4,703",923,"2,635",347,"3,905",178,587,68,833,Jaunpur
Jaunpur13004204,Uttar pradesh13004204,Varanasi_Cluster,Varanasi_Cluster13004204,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004204,Chopoff 250 ml,CROP PROTECTION,,,PRIVATE LABEL,CHOPOFF,0.25,D,4.8%,5.0%,95,60,85,240,340,8,,,8,,,,0,-10,0,-847,,292,339,300,,300,,0,,,0,,0,,,0,292,339,300,0,300,85,0,0,85,75,0,0,75,0,0,"24,725",0,0,"24,725","28,500",0,0,"28,500","20,325",0,0,"20,325","25,500",0,0,"25,500",982,0,0,982,"1,275",0,0,"1,275",,,Plan < AOP | Plan > Inventory (Shortage),"23,256",,,"23,256","18,956",82,,"19,038","3,429",82,,"3,511",Jaunpur
Jaunpur13004976,Uttar pradesh13004976,Varanasi_Cluster,Varanasi_Cluster13004976,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004976,Entokill 80 ml,CROP PROTECTION,,,PRIVATE LABEL,ENTOKILL,0.08,A,51.1%,45.0%,110,70,94,876,"1,169",2,3,,5,,,,0,0,0,0,,55,99,100,,100,40,71.85628743,100,,100,,0,,,0,95,171,200,0,200,8,6,0,14,8,8,0,16,0,0,"9,612","6,991",0,"16,603","11,000","11,000",0,"22,000","6,924","5,036",0,"11,960","9,350","9,350",0,"18,700","3,535","2,571",0,"6,107","4,208","4,208",0,"8,415",,,Plan > AOP | Plan > Inventory (Shortage),"6,270","4,571",,"10,841","4,818","3,544",,"8,362","2,178","1,624",,"3,802",Jaunpur
Jaunpur13004987,Uttar pradesh13004987,Varanasi_Cluster,Varanasi_Cluster13004987,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004987,GAPL Atraforce 500 GM,CROP PROTECTION,,,PRIVATE LABEL,GAPL ATRAFORCE,0.5,C,10.0%,20.0%,200,139,170,278,340,2,1,,2,,,,0,0,0,0,,19,125,200,,200,4,0,,,0,,0,,,0,23,125,200,0,200,63,0,0,63,100,0,0,100,0,0,"22,053",0,0,"22,053","40,000",0,0,"40,000","17,381",0,0,"17,381","34,000",0,0,"34,000","1,738",0,0,"1,738","6,800",0,0,"6,800",,,Plan > AOP | Plan > Inventory (Shortage),"4,980",680,,"5,660","1,535",563,,"2,098",-762,78,,-684,Jaunpur
Jaunpur13004794,Uttar pradesh13004794,Varanasi_Cluster,Varanasi_Cluster13004794,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004794,Gaze power 600 ml,CROP PROTECTION,,,PRIVATE LABEL,GAPL GAZE POWER,0.6,B,26.6%,30.0%,288,222,215,370,358,0,0,0,0,,,,0,-232,0,"-45,810",,0,0,,,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,No AOP | Plan > Inventory (Shortage),0,0,0,0,,86,,86,,86,,86,Jaunpur
Jaunpur13004233,Uttar pradesh13004233,Varanasi_Cluster,Varanasi_Cluster13004233,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004233,Gaze 250 ml,CROP PROTECTION,,,PRIVATE LABEL,GAZE,0.25,C,14.4%,8.0%,138,104,104,415,416,5,,,5,,,,0,0,0,0,,460,680,500,,500,,0,,,0,,0,,,0,460,680,500,0,500,170,0,0,170,125,0,0,125,0,0,"85,883",0,0,"85,883","69,000",0,0,"69,000","70,599",0,0,"70,599","52,000",0,0,"52,000","10,187",0,0,"10,187","4,160",0,0,"4,160",,,Plan < AOP | Plan > Inventory (Shortage),"56,993",,,"56,993","44,835","1,105",,"45,940","5,214","1,105",,"6,319",Jaunpur
Jaunpur13004234,Uttar pradesh13004234,Varanasi_Cluster,Varanasi_Cluster13004234,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004234,Gaze 500 ml,CROP PROTECTION,,,PRIVATE LABEL,GAZE,0.5,C,15.6%,8.0%,270,202,202,403,404,7,,1,8,,,,0,0,0,0,,436,613,450,,450,,0,,,0,-42,0,,,0,394,613,450,0,450,306,0,0,306,225,0,0,225,0,0,"150,248",0,0,"150,248","121,500",0,0,"121,500","123,509",0,0,"123,509","90,900",0,0,"90,900","19,280",0,0,"19,280","7,272",0,0,"7,272",,,Plan < AOP | Plan > Inventory (Shortage),"99,486",,"-9,040","90,445","77,789","1,604","-7,585","71,808","9,140","1,604",-322,"10,422",Jaunpur
Jaunpur13005513,Uttar pradesh13005513,Varanasi_Cluster,Varanasi_Cluster13005513,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13005513,HiMix 8 gm,CROP PROTECTION,,,PRIVATE LABEL,HIMIX,0.008,A,70.7%,60.0%,54,39,46,"4,834","5,738",9,3,,12,,,,0,4721,0,"192,041",,1426,"2,295",2000,,2000,214,344.3678161,400,,400,,0,,,0,1640,"2,639","2,400",0,"2,400",18,3,0,21,16,3,0,19,0,0,"130,893","19,643",0,"150,536","108,000","21,600",0,"129,600","88,741","13,317",0,"102,059","91,800","18,360",0,"110,160","62,740","9,415",0,"72,155","55,080","11,016",0,"66,096",,,Plan < AOP | Plan < Inventory (Excess),"76,434","11,470",,"87,904","52,035","8,140",,"60,175","41,857","6,613",,"48,470",Jaunpur
Jaunpur13003706,Uttar pradesh13003706,Varanasi_Cluster,Varanasi_Cluster13003706,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13003706,Illigo 100 gm,CROP PROTECTION,,,PRIVATE LABEL,ILLIGO,0.1,B,20.0%,21.0%,145,115,110,"1,147","1,100",1,,,1,,,,0,0,0,0,,10,18,20,,20,,0,,,0,,0,,,0,10,18,20,0,20,2,0,0,2,2,0,0,2,0,0,"2,714",0,0,"2,714","2,900",0,0,"2,900","2,024",0,0,"2,024","2,200",0,0,"2,200",405,0,0,405,462,0,0,462,,,Plan > AOP | Plan > Inventory (Shortage),"1,410",,,"1,410","1,154",22,,"1,176",256,22,,278,Jaunpur
Jaunpur13004194,Uttar pradesh13004194,Varanasi_Cluster,Varanasi_Cluster13004194,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004194,Illigo 1 Kg,CROP PROTECTION,,,PRIVATE LABEL,ILLIGO,1,C,19.0%,21.0%,"1,250",926,926,926,926,1,1,1,2,,,,0,0,0,0,,2,4,,,0,10,18.75,20,,20,2,3.75,10,,10,14,26,30,0,30,4,19,4,26,0,20,10,30,0,0,"4,997","24,985","4,997","34,979",0,"25,000","12,500","37,500","3,473","17,363","3,473","24,308",0,"18,520","9,260","27,780",660,"3,299",660,"4,618",0,"3,889","1,945","5,834",,,In AOP but Plan is ZERO,"2,500","12,500","2,500","17,500","2,043","10,223","2,043","14,309",398,"1,999",398,"2,795",Jaunpur
Jaunpur13004311,Uttar pradesh13004311,Varanasi_Cluster,Varanasi_Cluster13004311,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004311,ILLIGO 10 GM,CROP PROTECTION,,,PRIVATE LABEL,ILLIGO,0.01,C,18.0%,21.0%,13,13,12,"1,279","1,200",2,1,,3,,,,0,0,0,0,,70,0,,,0,50,0,100,,100,,0,,,0,120,0,100,0,100,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"1,300",0,"1,300",0,0,0,0,0,"1,200",0,"1,200",0,0,0,0,0,252,0,252,,,No AOP | Plan = Inventory (At Par),"1,400","1,000",,"2,400","1,151",850,,"2,001",132,122,,254,Jaunpur
Jaunpur13004225,Uttar pradesh13004225,Varanasi_Cluster,Varanasi_Cluster13004225,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13004225,Lymentria 20 gm,CROP PROTECTION,,,PRIVATE LABEL,LYMENTRIA,0.02,A,39.0%,37.0%,27,19,20,929,"1,000",2,1,,3,,,,0,25327,0,"686,833",,301,483,400,,400,100,0,,,0,,0,,,0,401,483,400,0,400,10,0,0,10,8,0,0,8,0,0,"11,757",0,0,"11,757","10,800",0,0,"10,800","8,967",0,0,"8,967","8,000",0,0,"8,000","3,501",0,0,"3,501","2,960",0,0,"2,960",,,Plan < AOP | Plan < Inventory (Excess),"7,826","2,628",,"10,454","5,938","2,735",,"8,673","2,095","1,458",,"3,553",Jaunpur
Jaunpur13001427,Uttar pradesh13001427,Varanasi_Cluster,Varanasi_Cluster13001427,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13001427,MAC 7 500 ml,CROP PROTECTION,,,PRIVATE LABEL,MAC 7,0.5,D,5.7%,8.0%,215,153,155,306,310,7,1,,7,,,,0,0,0,0,,250,280,100,,100,24,0,,,0,,0,,,0,274,280,100,0,100,140,0,0,140,50,0,0,50,0,0,"54,918",0,0,"54,918","21,500",0,0,"21,500","42,817",0,0,"42,817","15,500",0,0,"15,500","2,436",0,0,"2,436","1,240",0,0,"1,240",,,Plan < AOP | Plan > Inventory (Shortage),"45,363","4,392",,"49,755","33,859","3,322",,"37,181","5,107",562,,"5,669",Jaunpur
Jaunpur13001428,Uttar pradesh13001428,Varanasi_Cluster,Varanasi_Cluster13001428,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13001428,MAC 7 1 L,CROP PROTECTION,,,PRIVATE LABEL,MAC 7,1,D,5.1%,8.0%,400,288,300,288,300,1,6,4,9,,,,0,0,0,0,,50,55,200,,200,253,279.1724138,250,,250,62,68.4137931,50,,50,365,403,500,0,500,55,279,68,403,200,250,50,500,0,0,"20,380","103,124","25,271","148,776","80,000","100,000","20,000","200,000","15,890","80,402","19,703","115,994","60,000","75,000","15,000","150,000",815,"4,125","1,011","5,951","4,800","6,000","1,200","12,000",,,Plan > AOP | Plan > Inventory (Shortage),"17,400","88,115","21,597","127,112","13,340","66,280","15,927","95,547","1,782","7,806","1,599","11,187",Jaunpur
Jaunpur13005116,Uttar pradesh13005116,Varanasi_Cluster,Varanasi_Cluster13005116,East,Uttar pradesh,Jaunpur,Neeraj Kumar,13005116,MAC7.1 100 gm,CROP PROTECTION,,,PRIVATE LABEL,MAC7.1,0.1,C,12.2%,25.0%,67,41,58,408,580,2,,,2,,,,0,0,0,0,,401,0,3000,,3000,,0,"2,000",,"2,000",,0,"1,000",,"1,000",401,0,"6,000",0,"6,000",0,0,0,0,300,200,100,600,0,0,0,0,0,0,"201,000","134,000","67,000","402,000",0,0,0,0,"174,000","116,000","58,000","348,000",0,0,0,0,"43,500","29,000","14,500","87,000",,,No AOP | Plan > Inventory (Shortage),"23,258",,,"23,258","17,662","1,769",,"19,431","2,105","1,769",,"3,874",Jaunpur
